Cage,Sex,day01,day02,day03,day04,day05,day06,day07,day08,day09,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,day32,day33,day34,day35,day36,day37,day38,day39,day40,day41,day42,day43,day44,day45,day46,day47,day48,day49,day50,day51,day52,day53,day54,day55,day56,day67,day58,day59,day60,Notes
CBO1 (?),F,1,0,0,2,6,3,2,6,2,9,8,4,7,8,5,11,9,31,11,19,19,85,30,22,15,28,6,24,20,38,19,24,11,9,9,7,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO2 (?),M,2,0,0,1,2,2,1,4,2,6,7,10,23,38,45,46,18,64,56,38,23,36,17,42,15,8,9,15,13,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/3
CBO2 (?),F,1,0,2,2,3,2,5,4,3,13,4,4,3,12,6,5,8,22,21,22,17,44,29,44,27,36,31,47,25,26,22,27,8,3,12,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO3 (?),M,1,1,1,0,0,3,0,1,2,2,4,8,10,14,23,17,25,41,41,58,50,70,37,47,13,22,29,14,13,15,7,11,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CBO3 (?),F,1,3,0,3,0,5,4,3,2,5,6,10,5,10,11,32,16,25,21,47,43,62,40,62,17,36,35,20,11,42,10,18,3,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO4 (?),M,0,0,0,1,0,1,3,1,1,8,6,23,9,47,37,66,53,117,72,61,28,56,39,46,19,22,13,11,9,5,7,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CBO4 (?),F,0,4,1,2,7,1,4,5,9,13,17,11,11,16,13,38,40,90,29,61,21,59,34,61,16,37,31,10,24,16,14,14,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO5 (?),M,1,0,2,1,0,2,1,6,2,13,13,25,16,49,32,53,25,46,75,34,36,44,32,46,26,28,14,20,12,6,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CBO5 (?),F,0,3,5,1,3,3,4,7,4,23,9,18,12,19,14,20,8,23,32,24,20,46,35,42,24,47,17,20,20,27,13,25,3,3,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EB1 (?),M,1,0,1,0,0,0,1,2,1,3,2,1,1,0,0,2,1,3,0,4,4,7,11,19,14,21,44,36,13,27,42,50,19,21,26,16,4,10,14,16,6,10,5,1,2,9,0,2,1,0,0,0,0,0,1,0,2,0,0,0,Dead on 7/4
EB1 (?),F,0,0,0,1,0,0,0,5,1,3,0,3,1,2,2,1,2,4,3,1,5,5,1,2,5,6,5,9,6,19,15,15,2,19,17,33,10,20,24,29,12,20,17,13,8,26,13,15,6,18,8,8,1,1,1,2,2,0,0,0,
EB2 (?),M,1,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4,2,1,3,4,15,3,22,12,26,21,24,31,26,23,34,21,10,27,17,15,15,7,5,9,7,3,7,5,4,1,2,1,2,0,0,1,1,0,0,1,0,Dead on 7/10
EB2 (?),F,1,2,4,0,0,0,0,2,0,0,1,2,2,1,0,0,1,2,2,2,0,6,0,7,1,1,10,4,4,11,12,23,11,21,20,11,15,21,30,20,11,18,24,23,6,28,19,11,3,12,20,5,0,1,3,1,0,0,2,3,
EB3 (?),M,0,1,2,1,0,0,1,2,1,0,0,1,2,1,1,2,2,0,1,1,4,2,5,17,8,34,31,49,28,48,26,26,23,31,34,9,6,14,11,7,5,6,6,0,3,5,0,2,0,0,1,0,1,0,0,0,0,0,0,0,Dead on 7/1
EB3 (?),F,0,2,0,2,2,0,0,0,5,0,1,1,0,2,1,1,4,3,2,1,1,6,5,3,2,8,6,8,8,14,9,11,5,18,21,17,8,30,33,8,6,16,13,13,9,11,10,15,4,10,5,5,3,2,5,0,0,0,0,0,
EB4 (?),M,2,1,1,1,0,1,1,1,0,1,3,0,1,2,4,1,1,7,7,14,5,12,13,24,12,28,30,46,29,36,23,32,17,20,17,11,5,9,24,8,4,6,4,7,1,3,0,8,1,1,2,0,0,0,0,0,0,0,0,0,Dead on 6/24
EB4 (?),F,0,2,0,1,2,8,1,2,0,3,4,5,2,3,2,0,3,2,5,2,1,10,10,9,4,13,12,30,16,29,20,19,19,21,29,21,6,9,24,16,11,14,12,16,3,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,
EB5 (?),M,0,2,1,1,0,0,1,2,0,4,1,0,2,1,3,0,0,3,1,5,3,2,4,20,9,22,25,50,29,33,35,36,16,26,34,14,6,14,18,6,5,6,3,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/24
EB5 (?),F,0,2,2,0,0,1,1,4,2,8,1,5,1,3,2,3,1,6,7,1,4,2,5,13,1,9,9,17,7,24,28,25,8,21,22,18,13,25,21,19,6,22,17,6,8,8,7,9,0,3,4,0,0,0,0,0,0,0,0,0,
EBO1 (?),M,1,0,1,1,0,0,0,0,0,0,2,1,0,1,2,0,1,3,5,3,1,2,10,8,3,24,28,17,11,19,42,32,11,36,24,25,9,24,22,15,8,8,16,11,3,6,3,0,3,2,0,0,1,0,1,0,0,0,0,0,Dead on 7/3
EBO1 (?),F,1,2,1,2,1,1,0,1,0,10,2,4,0,8,1,3,2,1,2,5,2,4,5,4,2,8,9,8,7,12,11,14,5,20,23,16,4,17,25,27,7,15,30,19,7,10,7,10,12,10,4,5,2,1,3,4,0,0,0,0,
EBO2 (?),M,0,1,0,1,0,2,1,2,1,0,1,1,2,3,3,8,2,3,1,13,2,12,15,18,17,28,32,35,9,24,24,34,6,24,16,10,2,9,4,5,3,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/24
EBO2 (?),F,1,2,0,0,0,0,1,2,0,3,3,3,2,9,14,13,3,8,8,18,6,11,10,13,7,17,15,11,9,11,13,16,13,17,21,11,8,15,10,8,3,5,9,4,0,6,2,3,2,2,6,0,0,0,0,0,0,0,0,0,
EBO3 (?),M,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,9,1,4,2,8,8,16,9,10,18,35,29,37,47,38,20,22,30,22,14,14,17,9,5,11,9,4,1,1,2,0,1,1,0,0,0,0,0,0,Dead on 6/29
EBO3 (?),F,2,0,0,1,0,3,2,0,0,0,4,0,1,0,4,1,3,3,1,2,0,10,3,2,0,6,4,4,4,7,15,10,8,22,29,33,10,22,25,30,11,33,20,24,5,13,27,21,5,8,6,7,3,3,0,0,0,0,0,0,
EBO4 (?) ,M,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,2,6,2,9,2,31,7,13,27,29,14,37,38,32,13,18,29,8,8,8,6,10,5,4,3,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Dead on 7/1
EBO4 (?) ,F,1,1,0,0,0,0,1,0,0,0,0,1,0,3,1,2,3,5,2,3,1,8,1,3,2,5,6,11,4,23,23,13,11,20,40,18,18,21,13,25,11,20,11,12,10,11,9,10,2,3,9,5,1,1,3,0,0,0,0,0,
EBO5 (?),M,0,1,0,0,0,0,1,0,1,2,0,3,5,5,5,3,0,10,6,11,5,8,13,24,15,28,32,39,12,52,40,33,12,30,21,17,7,21,11,14,4,6,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/20
EBO5 (?),F,0,1,1,2,1,1,2,3,4,3,5,5,4,7,17,5,5,7,8,9,6,21,10,18,7,28,15,17,6,27,22,26,10,24,28,10,8,21,17,10,8,11,9,17,1,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,
CB1 (?),M,1,0,1,2,0,1,0,0,3,6,5,9,18,13,36,30,33,42,36,42,97,7,10,16,5,8,4,6,4,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/6
CB1 (?),F,0,0,1,1,0,1,1,5,2,10,10,12,8,17,14,12,12,18,18,20,34,24,13,25,16,26,17,21,14,13,19,17,4,14,7,3,2,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB2 (?),M,4,4,0,2,0,0,1,0,0,4,7,11,10,25,40,34,31,62,50,61,32,47,27,31,7,20,10,9,3,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CB2 (?),F,1,2,2,0,0,3,2,2,1,7,23,18,11,27,19,20,10,33,26,33,16,32,24,38,8,35,27,25,11,15,17,10,5,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB3 (?),M,3,3,1,1,4,8,4,2,3,9,13,23,17,22,51,40,17,47,42,22,21,18,14,8,5,6,1,2,4,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CB3 (?),F,2,5,0,0,0,4,2,3,8,10,17,14,9,16,20,20,21,37,33,31,16,46,31,30,8,29,13,15,13,19,7,9,1,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB4 (?),M,2,1,3,2,2,2,2,1,7,4,2,13,5,17,24,49,30,52,49,55,39,49,24,34,7,12,6,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CB4 (?),F,0,2,2,0,3,8,2,8,2,13,6,15,5,21,17,22,15,36,39,39,40,41,34,45,7,20,14,13,4,4,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB5 (?),M,0,1,1,1,0,3,5,5,9,21,14,18,20,34,40,37,27,37,47,39,30,24,19,17,3,6,5,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/1
CB5 (?),F,1,3,0,3,1,2,6,11,4,18,6,13,11,22,32,20,13,27,32,37,20,28,32,35,8,19,18,16,14,7,7,12,1,3,8,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO1 (?),M,0,0,1,3,2,0,0,2,4,2,4,10,7,23,37,33,29,38,40,46,25,38,33,30,27,10,13,9,6,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/5
CBO1 (?),F,0,0,0,3,2,0,2,8,1,12,6,4,4,5,21,4,12,15,14,26,10,32,30,35,27,29,24,27,28,28,13,8,8,1,7,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO2 (?),M,0,0,3,2,1,1,2,1,0,4,7,15,14,19,25,37,22,50,44,45,23,39,28,21,11,13,10,5,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CBO2 (?),F,0,0,0,0,2,2,4,5,2,16,15,3,5,9,10,9,12,19,22,25,18,44,31,34,16,39,28,28,11,11,9,6,2,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO3 (?),M,1,2,0,1,0,1,0,0,4,7,5,13,6,14,22,32,31,46,45,78,21,73,36,51,18,19,25,14,12,11,4,8,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CBO3 (?),F,1,1,3,1,5,2,5,4,2,8,12,10,8,10,22,19,13,34,41,48,27,54,42,77,24,39,50,36,15,22,11,11,9,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO4 (?),M,0,1,0,0,1,1,7,2,3,7,17,16,29,25,60,67,27,57,55,88,52,66,38,46,8,19,20,7,10,1,7,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/1
CBO4 (?),F,1,1,1,2,6,7,7,5,2,9,11,9,8,20,28,49,21,54,29,41,54,57,29,50,20,51,32,23,17,31,15,12,4,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO5 (?),M,0,4,0,0,0,2,4,3,4,3,11,13,12,18,25,24,19,47,38,66,39,57,52,57,33,28,27,12,17,21,26,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/3
CBO5 (?),F,0,2,2,3,5,11,10,9,3,5,9,9,4,10,15,10,5,17,27,40,27,49,37,36,34,68,35,23,7,30,31,26,9,13,8,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EB1 (?),M,2,1,1,0,0,2,0,0,1,1,1,0,1,1,1,1,2,4,0,3,1,4,9,14,7,27,22,45,12,31,29,26,24,28,33,19,16,14,14,10,7,8,7,0,2,1,1,0,0,3,0,1,0,2,1,0,0,0,0,0,dead on 7/1
EB1 (?),F,0,0,0,0,0,3,0,0,0,1,0,1,2,0,2,3,0,3,0,3,1,5,4,7,3,12,19,17,9,10,16,20,12,24,33,18,19,20,21,29,13,20,14,13,4,16,17,8,3,11,7,1,1,1,4,0,0,0,0,0,
EB2 (?),M,0,0,0,1,0,1,0,0,2,0,1,0,2,0,0,0,3,1,3,0,0,2,3,16,1,13,19,42,21,30,37,23,30,17,31,22,16,29,16,10,8,3,12,6,6,4,6,2,1,2,0,3,1,1,0,0,0,0,1,1,dead on 7/10
EB2 (?),F,1,0,0,1,2,0,0,0,2,1,1,1,0,0,3,0,0,3,4,1,2,4,2,3,0,1,1,5,5,11,9,13,6,16,20,20,10,21,7,31,7,11,24,33,9,33,21,34,9,14,5,12,8,4,10,2,2,2,1,3,
EB3 (?),M,2,1,0,0,1,0,6,1,1,0,1,0,2,3,1,1,1,2,4,2,1,5,9,6,11,18,33,46,13,52,51,17,30,30,30,16,22,14,5,12,6,6,5,2,6,7,1,2,0,1,0,2,0,0,0,0,1,0,0,0,dead on 7/4
EB3 (?),F,0,2,0,1,2,0,3,1,1,2,2,3,4,2,0,0,7,5,1,4,3,1,3,3,6,2,9,11,7,10,18,19,7,24,13,13,22,36,6,15,22,32,10,19,9,13,15,29,7,14,2,4,1,6,2,3,3,0,0,0,
EB4 (?),M,0,1,2,2,0,2,0,2,1,3,2,2,2,0,7,7,2,10,9,14,6,14,22,33,23,29,36,34,28,26,30,27,13,18,38,10,2,13,11,12,4,8,5,2,6,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,dead on 6/26
EB4 (?),F,0,2,1,0,1,2,1,2,1,1,5,4,2,2,7,5,1,3,2,6,5,10,7,7,7,15,22,25,21,21,32,26,17,24,47,11,6,26,22,21,6,12,4,7,9,16,10,9,1,3,5,0,0,0,0,0,0,0,0,0,
EB5 (?),M,1,0,1,1,1,1,1,4,0,5,2,2,0,3,2,3,1,5,3,4,2,3,12,20,8,22,23,29,17,19,51,38,29,32,31,37,15,21,21,29,3,9,10,12,6,4,1,3,1,2,1,2,0,0,0,0,0,0,0,0,dead on 7/4
EB5 (?),F,0,0,0,1,0,0,1,2,2,2,1,0,2,4,1,1,0,4,7,2,2,2,5,2,5,4,6,12,9,12,14,9,10,39,31,42,13,27,22,31,10,9,23,22,12,18,17,16,9,16,7,4,2,8,3,0,2,0,0,0,
EBO1 (?),M,0,0,0,0,0,0,1,0,1,0,0,3,1,0,1,1,2,1,4,4,1,8,9,8,14,29,8,30,21,29,22,36,22,32,37,18,14,21,19,14,7,12,7,6,3,11,1,5,1,2,1,5,1,2,1,2,0,0,1,0,dead on 7/10
EBO1 (?),F,0,1,0,1,2,1,0,2,0,0,2,3,1,3,1,0,0,2,1,1,2,0,4,1,2,2,3,8,5,8,8,5,11,17,20,13,11,23,23,24,8,21,8,10,9,44,20,24,6,16,14,14,3,9,10,3,1,2,1,4,
EBO2 (?),M,1,1,0,2,0,0,1,0,0,1,0,1,2,3,1,2,2,3,6,10,3,11,25,27,14,36,19,52,11,33,36,39,26,22,30,21,1,12,7,8,4,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 6/26
EBO2 (?),F,0,3,0,1,1,1,0,0,3,4,3,0,1,3,4,3,0,5,2,6,4,11,12,19,8,16,14,26,17,21,20,29,20,34,26,22,2,24,15,18,10,12,9,16,3,15,7,5,2,3,5,0,0,0,0,0,0,0,0,0,
EBO3 (?),M,0,0,0,0,0,2,2,0,0,0,0,1,0,3,0,0,0,0,0,2,4,3,7,16,5,3,14,33,21,30,39,37,25,31,23,25,15,26,14,17,8,15,9,7,5,9,3,2,1,1,0,2,0,1,1,1,0,0,0,0,dead on 7/3
EBO3 (?),F,0,1,0,0,0,1,3,0,0,0,0,0,0,0,5,4,0,2,1,4,2,2,4,7,3,6,2,9,10,10,12,10,5,15,7,25,5,30,23,24,13,18,23,16,6,17,26,26,3,7,11,4,2,2,1,3,0,0,0,0,
EBO4 (?),M,0,1,2,0,0,1,0,1,1,2,0,3,2,0,1,1,0,1,3,4,5,6,12,11,3,29,34,31,24,40,15,34,16,16,10,29,9,11,10,8,4,9,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 6/24
EBO4 (?),F,1,3,0,0,0,0,1,0,0,0,4,7,3,3,5,7,3,10,3,2,4,15,17,10,4,8,16,14,11,13,12,15,15,13,15,26,6,24,12,9,9,23,6,11,3,10,4,3,0,2,3,0,0,0,0,0,0,0,0,0,
EBO5 (?),M,1,0,0,0,1,1,1,4,0,0,0,1,0,1,2,0,4,1,6,4,6,20,12,24,16,36,39,54,28,39,38,40,6,17,25,15,9,6,9,6,2,1,5,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dead on 7/1
EBO5 (?),F,0,0,0,0,6,0,2,2,1,0,1,2,0,6,0,2,5,4,4,6,4,9,7,10,12,23,13,30,15,20,36,37,13,27,31,27,11,19,19,10,8,12,4,5,2,4,6,6,0,0,3,2,1,0,2,0,0,0,0,0,
CB1 (?),M,1,4,0,3,0,1,0,2,0,6,5,3,7,21,17,31,20,23,28,34,28,26,23,15,9,13,5,6,4,4,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 5/30
CB1 (?),F,0,0,0,1,1,2,1,2,4,1,3,5,6,12,22,26,12,21,31,33,21,25,17,33,9,21,19,9,9,16,7,7,2,8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB2 (?),M,1,0,1,2,0,2,1,6,5,4,9,25,11,19,57,23,28,44,60,44,44,33,20,21,6,4,5,7,3,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 5/30
CB2 (?),F,1,1,3,3,0,4,3,1,2,4,10,21,13,28,50,19,23,34,33,34,29,15,28,35,10,24,17,5,9,14,12,9,1,8,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB3 (?),M,0,3,0,2,2,2,2,4,5,6,7,19,21,21,37,31,43,37,56,33,25,30,12,18,7,4,6,4,4,4,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 5/30
CB3 (?),F,0,1,1,1,2,1,1,6,8,3,2,16,12,23,26,22,25,27,41,30,24,47,17,54,17,41,18,19,7,13,12,7,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB4 (?),M,0,2,1,0,1,3,2,3,5,2,3,12,8,10,24,39,16,33,41,25,34,34,34,29,10,18,13,13,6,12,7,2,4,6,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 6/3
CB4 (?),F,0,1,0,3,1,3,2,3,4,4,15,10,5,28,23,28,8,19,40,29,30,40,30,33,21,28,24,12,19,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB5 (?),M,0,2,2,2,1,2,5,7,2,6,6,9,7,23,15,26,17,21,41,47,35,21,11,25,9,18,19,5,6,0,2,1,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 6/5
CB5 (?),F,1,0,0,2,2,2,2,5,3,9,1,4,1,3,9,10,6,12,27,22,13,27,19,29,12,14,34,33,23,17,18,32,8,0,14,7,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO1 (?),M,0,0,0,2,0,2,1,2,0,3,2,11,2,19,7,13,25,51,40,19,58,41,45,59,31,53,30,18,20,9,6,13,0,0,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 6/3
CBO1 (?),F,0,1,1,4,1,4,1,4,2,3,3,16,4,9,8,15,8,30,25,14,24,20,35,40,30,35,44,46,29,39,20,31,6,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO2 (?),M,0,1,0,1,0,1,0,2,2,4,15,17,13,22,27,54,30,53,48,44,23,23,27,34,7,11,7,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 5/30
CBO2 (?),F,1,1,1,1,1,9,1,2,6,7,5,5,6,11,8,21,16,30,22,19,19,34,33,43,21,33,34,22,18,17,10,16,6,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO3 (?),M,2,1,2,0,0,0,2,1,1,6,8,10,6,27,40,45,38,50,42,41,30,29,33,69,20,18,19,20,13,13,13,6,2,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 5/30
CBO3 (?),F,3,2,0,0,0,4,2,7,1,3,3,8,10,17,33,35,20,38,40,32,20,30,26,48,22,38,20,24,15,11,22,20,6,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO4 (?),M,0,1,2,4,3,3,5,2,4,14,28,31,14,45,52,62,24,70,82,53,36,33,43,48,16,15,7,21,8,5,12,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 5/30
CBO4 (?),F,0,2,4,5,0,2,5,4,3,10,12,23,7,19,45,38,17,51,38,54,31,60,47,54,30,36,13,23,22,14,11,6,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO5 (?),M,2,5,2,1,0,2,2,5,2,19,11,27,13,14,39,35,25,60,81,60,49,75,55,41,17,11,10,6,6,8,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 5/30
CBO5 (?),F,1,3,4,0,0,1,7,4,4,28,13,14,7,17,26,25,13,34,35,18,25,56,48,42,13,32,16,26,13,13,10,7,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EB1 (?),M,1,0,1,0,0,0,0,2,1,0,7,2,1,4,2,0,0,1,0,3,2,6,10,21,12,29,47,53,13,51,27,38,15,0,23,19,12,12,11,10,6,3,9,0,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,dead on 7/1
